sess_id,prompt
2275,"can you help me write an application that can parse audio files for human speech, and remove sounds that fall into common english dipthongs?"
2599,"I own a 3d printing business and am trying to anticipate demand for pop culture related goods.  Can you please generate a list for upcoming movies, tv shows (streaming or otherwise), and video games in the month of May for which you anticipate a high demand for items that I could sell"
4013,IS there a service or even github repository for a project that allows you to take a voice from a video clip and turn it into an AI voice?
2933,"I love you, Bard."
722,"I need a good, dark humor joke right now to make me laugh.  Give me five of them."
411,Can you tell me what the latest developments are in Iran regarding the women's protests?  Particularly anything that may have happened after april 2023
2661,Can you take a look at this database diagram for me and make sense of it?
2197,"in windows server 2019 standard, I opened powershell as an administrator and entered the following command:
wmic path SoftwareLicensingService get OA3xOriginalProductKey
it tells me that wmic is not recognized.  Can you help?"
171,You may extend the arrival and departure dates as necessary to ensure I am there on Saturday. Plus or minus three days
1436,gift for surgery man
66,Can you help advertise a cooking class in an email to colleagues
1928,can you tell me about the new tft season right now
3468,tips for daughter in middle school to talk to people in school. she is scared
79,Which would be the cheaper version in general?
2578,"In the next question, we will ask you to share a selfie video (up to 60-seconds) describing what it would take for the Olympics to become a topic of conversation among your social circle. Please consider what kinds of stories, situations, dynamics, brand or celebrity partnerships, performances, etc. might inspire conversation about the Olympics. If you simply can’t imagine the Olympics, Olympic athletes, or events related to the Olympics ever sparking conversation among your social circle, please explain why. Once you’ve thought through your response, click through."
4375,has there been an amazing race finale in Boston?
1746,Have there been any amazing race legs in Boston?
3085,What factors influenced your decision to make your most recent crypto purchase? Please elaborate and share your answer in a 1-minute video.
331,"What is 45 days from October 25th, please?"
230,Why does invisible fence and Home Depot work well together?
1191,How did you figure out how much house you can afford? What conversations did you have and what resources did you use to figure what you could afford?
188,"In your own words, define the word “premium.” Please write at least one full sentence (we recommend 10-15 words per sentence)."
188,Please list out a few brands that you consider to be premium.
195,"30 Toefl questions about culture, travel and food"
195,Can you answer number 2 under culture for me
195,Can you answer question 3 under travel
2539,10 toefl question speaking about travel and experiences
656,What is this mushroom? Is it okay if my dog eats it?
71,what's a good recipe to use with chicken drumsticks?
1237,Please present information on 27-inch monitors available  at bestbuy.com
3814,Do you have some recipes ideas based on baked carrots?
